handle,displayName,originalTitle,category,shapeKey,basePrice,imageCount,variantCount,collections,sourceAvailability,needsReview,migrationStatus
circular-drum-lamp-shade-kits-15cm-diameter-x-15cm-height-with-golden-ring-and-golden-lining,"Kits 15cm Diameter X 15cm Height With Golden Ring And Golden Lining","Circular drum lamp shade kits 15cm diameter x 15cm height with golden ring and golden lining",KIT,drum,24.99,2,1,"lamp-shade-kits",available,no,IMAGES_DOWNLOADED
circular-drum-lamp-shade-kits-20cm-diameter-x-18cm-height-with-golden-ring-and-golden-lining,"Kits 20cm Diameter X 18cm Height With Golden Ring And Golden Lining","Circular drum lamp shade kits 20cm diameter x 18cm height with golden ring and golden lining",KIT,drum,30.00,2,1,"lamp-shade-kits",available,no,IMAGES_DOWNLOADED
circular-drum-lamp-shade-kits-25cm-diameter-x-21cm-height-with-golden-ring-and-golden-lining,"Kits 25cm Diameter X 21cm Height With Golden Ring And Golden Lining","Circular drum lamp shade kits 25cm diameter x 21cm height with golden ring and golden lining",KIT,drum,35.00,2,1,"lamp-shade-kits",available,no,IMAGES_DOWNLOADED
circular-drum-lamp-shade-kits-30cm-diameter-x-21cm-height-with-golden-ring-and-golden-lining,"Kits 30cm Diameter X 21cm Height With Golden Ring And Golden Lining","Circular drum lamp shade kits 30cm diameter x 21cm height with golden ring and golden lining",KIT,drum,39.99,2,1,"lamp-shade-kits",available,no,IMAGES_DOWNLOADED
gold-jade-abstract-velvet-fabric-print-teal-antique-water-art,"Gold & Jade Abstract velvet Print: Teal Antique Water Art","Gold & Jade Abstract Velvet Fabric Print: Teal Antique Water Art",FABRIC,,35.00,1,1,"fabrics",available,no,IMAGES_DOWNLOADED
handmade-abstract-pattern-drum-lamp-shade-clarke-and-clarke-fabric-brown-velvet-fabric,"Handmade Abstract Pattern : Clarke and Clarke Fabric brown velvet","Handmade Abstract Pattern Drum Lamp Shade: Clarke and Clarke Fabric brown velvet fabric",LAMPSHADE,drum,24.99,11,240,"drum-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-abstract-pattern-drum-lamp-shade-clarke-and-clarke-fabric-brown-velvet-fabric-copy,"Luxury Black Golden Honey Comb Geometric Pattern","Handmade by order luxury black golden honey comb geometric pattern drum lamp shade pendant light lamp shade all shapes and sizes",LAMPSHADE,drum,24.99,10,240,"drum-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-black-velvet-drum-lamp-shade-silver-copper-foil-accent,"Handmade Black Velvet : Silver Copper Foil Accent","Handmade Black Velvet Drum Lamp Shade: Silver Copper Foil Accent",LAMPSHADE,drum,24.99,9,240,"drum-lampshades|foil-lined-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-black-velvet-lamp-shade-mushroom-village-jungle-pattern,"Handmade Black Velvet: Mushroom Village Jungle Pattern","Handmade Black Velvet Lamp Shade: Mushroom Village Jungle Pattern",LAMPSHADE,,24.99,10,240,"drum-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-blue-diagonal-velvet-lamp-shade-drum-pendant-light,"Handmade Blue Diagonal Velvet: Drum","Handmade Blue Diagonal Velvet Lamp Shade: Drum Pendant Light",LAMPSHADE,drum,24.99,7,240,"drum-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-ordee-luxury-jade-green-blue-wave-sky-with-glitter-effects-of-northern-lights-velvet-drum-lamp-shade-pendant-light-lamp-shade,"Luxury Jade Green Blue Wave Sky With Glitter Effects Of Northern Lights","Handmade by ordee luxury jade green blue wave sky with glitter effects of northern lights velvet drum lamp shade pendant light lamp shade",LAMPSHADE,drum,24.99,11,240,"drum-lampshades|our-collections|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-abstract-art-alcohol-paint-florat-rose-green-plant-on-velvet-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-sizes,"Abstract Art Alcohol Paint Florat Rose Green Plant On Velvet Sizes","Handmade by order abstract art alcohol paint florat rose green plant on velvet drum lamp shade pendant light lamp shade all shapes sizes",LAMPSHADE,drum,24.99,12,240,"drum-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-abstract-jade-green-paint-abstract-patch-pattern-drum-velvet-lamp-shade-pendant-light-lamp-shade-all-sizes-and-shapes-copy,"Orange Roses On Black Velvet Pattern Drum Shape","Handmade by order orange roses on black velvet pattern drum shape lamp shade pendant light lamp shade all shapes and sizes available",LAMPSHADE,drum,24.99,7,250,"drum-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-abstract-jade-green-paint-abstract-patch-pattern-rounded-rectangular-velvet-lamp-shade-pendant-light-lamp-shade-all-sizes-and-shapes-copy,"orange roses on black velvet pattern ROUNDED RECTANGULAR shape","Handmade by order orange roses on black velvet pattern ROUNDED RECTANGULAR shape lamp shade pendant light lamp shade all shapes and sizes available",LAMPSHADE,rectangular,34.99,6,80,"printed-lampshades|rectangular-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-black-gold-lava-effect-velvet-rounded-square-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-available,"Black Gold Lava Effect Velvet","handmade by order black gold lava effect velvet ROUNDED SQUARE lamp shade pendant light lamp shade all shapes and sizes available",LAMPSHADE,square,29.99,6,140,"our-collections|printed-lampshades|square-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-blue-hold-marble-wave-effect-velvet-rounded-square-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-available,"Blue Hold Marble Wave Effect Velvet","handmade by order blue hold marble wave effect velvet ROUNDED SQUARE lamp shade pendant light lamp shade all shapes and sizes available",LAMPSHADE,square,29.99,7,140,"our-collections|printed-lampshades|square-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-bottle-green-gold-foil-effect-velvet-cushion-covers-all-shapes-sizes-available-copy,"luxury mushroom plants leaves in jungle pattern velvet Cushion covers","Handmade by order luxury mushroom plants leaves in jungle pattern velvet Cushion covers bespoke sizes available",CUSHION,,34.99,2,2,"cushion-covers",available,no,IMAGES_DOWNLOADED
handmade-by-order-deep-orange-velvet-and-peacock-pattern-inside-drum-lamp-shade-pendant-light-lamp-shade-all-sizes-shapes-available,"Deep Orange Velvet And Peacock Pattern Inside Shapes","Handmade by order deep orange velvet and peacock pattern inside drum lamp shade pendant light lamp shade all sizes shapes available",LAMPSHADE,drum,24.99,6,240,"drum-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-glitter-effect-gold-silver-copper-effect-abstract-art-design-print-on-velvet-drum-lamp-shade-pendant-light-lamp-shade,"Glitter Effect Gold Silver Copper Effect Abstract Art Design Print On","Handmade by order glitter effect gold silver copper effect abstract art design print on velvet drum lamp shade pendant light lamp shade",LAMPSHADE,drum,24.99,11,250,"drum-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-green-gold-floral-plant-pattern-on-velvet-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-available,"Green Gold Floral Plant Pattern On Velvet","Handmade by order green gold floral plant pattern on velvet drum lamp shade pendant light lamp shade all shapes and sizes available",LAMPSHADE,drum,24.99,10,240,"drum-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-hot-pink-velvet-and-birds-on-branches-print-double-sided-drum-lamp-shade-all-shapes-and-sizes-available,"Hot Pink Velvet And Birds On Branches Print Double Sided","Handmade by order hot pink velvet and birds on branches print double sided drum lamp shade all shapes and sizes available",LAMPSHADE,drum,24.99,8,24,"drum-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-lime-green-and-green-feathers-printed-double-sided-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-available,"Lime Green And Green Feathers Printed Double Sided","Handmade by order lime green and green feathers printed double sided drum lamp shade pendant light lamp shade all shapes and sizes available",LAMPSHADE,drum,24.99,11,24,"drum-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-lucky-deep-orange-velvet-and-fish-pattern-inside-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-available,"Lucky Deep Orange Velvet And Fish Pattern Inside","Handmade by order lucky deep orange velvet and fish pattern inside drum lamp shade pendant light lamp shade all shapes and sizes available",LAMPSHADE,drum,24.99,11,24,"drum-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxurious-abstract-blue-yellow-green-water-paint-art-drum-velvet-lamp-shade-pendant-light-lamp-shade-all-sizes-and-shapes,"Luxurious Abstract Blue Yellow Green Water Paint Art Drum Velvet","Handmade by order luxurious abstract blue yellow green water paint art drum velvet lamp shade pendant light lamp shade all sizes and shapes",LAMPSHADE,drum,24.99,10,240,"drum-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxurious-abstract-jade-green-and-golden-paint-art-drum-velvet-lamp-shade-pendant-light-lamp-shade-all-sizes-and-shapes,"Luxurious Abstract Jade Green And Golden Paint Art Drum Velvet","Handmade by order luxurious abstract jade green and golden paint art drum velvet lamp shade pendant light lamp shade all sizes and shapes",LAMPSHADE,drum,24.99,12,240,"drum-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxurious-abstract-jade-green-teal-gold-drum-velvet-lamp-shade-pendant-light-lamp-shade-all-sizes-and-shapes-available,"Luxurious Abstract Jade Green Teal Gold Drum Velvet","Handmade by order luxurious abstract jade green teal gold drum velvet lamp shade pendant light lamp shade all sizes and shapes available",LAMPSHADE,drum,24.99,10,240,"drum-lampshades|our-collections|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxurious-abstract-teal-gold-round-circle-drum-velvet-lamp-shade-pendant-light-lamp-shade-all-sizes-and-shapes-available,"Luxurious Abstract Teal Gold Round Circle Drum Velvet","Handmade by order luxurious abstract teal gold round circle drum velvet lamp shade pendant light lamp shade all sizes and shapes available",LAMPSHADE,drum,24.99,9,240,"drum-lampshades|our-collections|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
